Title,Price Min,Price Max,Link,hh.ru
"Наставник в Практикум на программу обучения ""Веб-разработчик""",None,None,https://krasnodar.hh.ru/vacancy/37060370,hh.ru
Analyst (Management Consulting),None,None,https://krasnodar.hh.ru/vacancy/37368447,hh.ru
Senior QA Automation (Java) Engineer,None,None,https://krasnodar.hh.ru/vacancy/34661494,hh.ru
SQL-программист,None,None,https://krasnodar.hh.ru/vacancy/35506618,hh.ru
Senior QA Automation (Java) Engineer,None,None,https://krasnodar.hh.ru/vacancy/34719613,hh.ru
"Наставник в Практикум на программу обучения ""Инженер по тестированию""",None,None,https://krasnodar.hh.ru/vacancy/37077289,hh.ru
Head of Marketing Analytics,None,None,https://krasnodar.hh.ru/vacancy/37030488,hh.ru
"Наставник в Практикум на программу обучения ""Бэкенд-разработчик""",None,None,https://krasnodar.hh.ru/vacancy/37027630,hh.ru
Senior Data Analyst,None,None,https://krasnodar.hh.ru/vacancy/36413915,hh.ru
Менеджер по анализу больших данных (Big data),None,None,https://krasnodar.hh.ru/vacancy/36851890,hh.ru
Аналитик (социолог),None,None,https://krasnodar.hh.ru/vacancy/36089360,hh.ru
Data Scientist,None,None,https://krasnodar.hh.ru/vacancy/36160619,hh.ru
Senior director (Supply Chain Management),None,None,https://krasnodar.hh.ru/vacancy/37362444,hh.ru
Senior Backend Developer (Java + Python),None,None,https://krasnodar.hh.ru/vacancy/37368426,hh.ru
Compiler Engineer,None,None,https://krasnodar.hh.ru/vacancy/37368686,hh.ru
Data Scientist,None,110 000 руб.,https://krasnodar.hh.ru/vacancy/37003152,hh.ru
Java/Kotlin Software Engineer,None,None,https://krasnodar.hh.ru/vacancy/36607615,hh.ru
Data Engineer/ BI Developer,None,None,https://krasnodar.hh.ru/vacancy/36182291,hh.ru
Software Engineer,None,None,https://krasnodar.hh.ru/vacancy/36891350,hh.ru
Архитектор ПО,None,None,https://krasnodar.hh.ru/vacancy/37374942,hh.ru
Senior Product Manager (Core Team),None,None,https://krasnodar.hh.ru/vacancy/36970950,hh.ru
Стажер в Data Science Stream Департамента по управлению данными,40 000 руб.,40 000 руб.,https://krasnodar.hh.ru/vacancy/37356367,hh.ru
Data Scientists Middle/Senior,None,None,https://krasnodar.hh.ru/vacancy/35723655,hh.ru
Code reviewer (Node.js),None,None,https://krasnodar.hh.ru/vacancy/37153420,hh.ru
